Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Ток панели +X,мА,2,int16_t,29
Ток панели -X,мА,2,int16_t,31
Ток панели +Y,мА,2,int16_t,33
Ток панели -Y,мА,2,int16_t,35
Ток откидных панелей плоскость спутника 1  (LT8490),мА,2,int16_t,37
Ток откидных панелей плоскость спутника 2  (LT8490),мА,2,int16_t,39
 Напряжение панели +X,мВ,2,uint16_t,41
 Напряжение панели -X,мВ,2,uint16_t,43
 Напряжение панели +Y,мВ,2,uint16_t,45
 Напряжение панели -Y,мВ,2,uint16_t,47
 Напряжение откидных панелей плоскость спутника 1 ,мВ,2,uint16_t,49
 Напряжение откидных панелей плосуость спутника 2 ,мВ,2,uint16_t,51
Медианная температура панели +X,°C,1,int8_t,53
Медианная температура панели -X,°C,1,int8_t,54
Медианная температура панели +Y,°C,1,int8_t,55
Медианная температура панели -Y,°C,1,int8_t,56
Медианная температура откидной панели +Y,°C,1,int8_t,57
Медианная температура откидной панели -Y,°C,1,int8_t,58
"Статус солнечных панелей, битовая маска (в т.ч. ФЭП)", -,5,hex,59
Полный уровень заряда АБ в %,%,1,uint8_t,64
Уровень заряда АБ1 ветвь 1,mAh,2,uint16_t,65
Уровень заряда АБ1 ветвь 2,mAh,2,uint16_t,67
Уровень заряда АБ2 ветвь 1,mAh,2,uint16_t,69
Уровень заряда АБ2 ветвь 2,mAh,2,uint16_t,71
Уровень заряда АБ3 ветвь 1,mAh,2,uint16_t,73
Уровень заряда АБ3 ветвь 2,mAh,2,uint16_t,75
Полный уровень заряда АБ в mAh,mAh,2,uint16_t,77
Средняя температура контроллера АБ1,°C,1,int8_t,79
Средняя температура ветви 1 АБ1,°C,1,int8_t,80
Средняя температура ветви 2 АБ1,°C,1,int8_t,81
Средняя температура контроллера АБ2,°C,1,int8_t,82
Средняя температура ветви 1 АБ2,°C,1,int8_t,83
Средняя температура ветви 2 АБ2,°C,1,int8_t,84
Средняя температура контроллера АБ3,°C,1,int8_t,85
Средняя температура ветви 1 АБ3,°C,1,int8_t,86
Средняя температура ветви 2 АБ3,°C,1,int8_t,87
"Статус АБ, битовая маска", -,3,hex,88
"Статус ключей заряда и разряда АБ, битовая маска", -,2,hex,91
Ток канал 1,мА,2,int16_t,93
Ток канал 2,мА,2,int16_t,95
Ток канал 3,мА,2,int16_t,97
Ток канал 4,мА,2,int16_t,99
Ток канал 5,мА,2,int16_t,101
Ток канал 6,мА,2,int16_t,103
Напряжение VBAT1,мВ,2,uint16_t,105
Напряжение VBAT2,мВ,2,uint16_t,107
Ток VBAT1,мА,2,int16_t,109
Ток VBAT2,мА,2,int16_t,111
"Статус линии пит. подсистем, битовая маска", -,1,hex,113
Ток потребления модуля СЭС,мА,2,int16_t,114
Напряжение питания модуля СЭС,мВ,2,uint16_t,116
Полная мощность зарядки/разрядки АБ,мВт,2,int16_t,118
Полная вырабатываемая мощность СБ,мВт,2,uint16_t,120
Полная мощность потребления КА,мВт,2,uint16_t,122
Медианная температура PMM (один датчик),°C,1,int8_t,124
Медианная температура PAM,°C,1,int8_t,125
Медианная температура PDM,°C,1,int8_t,126
"Статус элементов системы модуля СЭС, битовая маска", -,3,hex,127
Напряжение батарейной шины СЭС(МАЯК), -,2,uint16_t,130
Количество перезапусков основного полукомплекта модуля СЭС, -,4,uint32_t,132
Количество перезапусков резервного полукомплекта модуля СЭС, -,4,uint32_t,136
Ключа питания CAN основной (копия для ТМИ), -,1,uint8_t,140
Ключа питания CAN резервный (копия для ТМИ), -,1,uint8_t,141
Выключить питание Passive CPU (копия для ТМИ), -,1,uint8_t,142
Режим Констатнт ( копия для ТМИ), -,1,uint8_t,143
Переключатель основной/резервный (копия для ТМИ), -,1,uint8_t,144
